coreT,inT,outT,QL,QF,HP,CoreQPower,v1,v2,qPow,qSP,qSV,qCur,qSetV,seq,steps,2h2--4he
249.9992413,218.0674132,24.8898719,150,43.41497476,23.5681299,3.584585964,9.120282655,8.397136071,48.38224497,57.01965517,300.1034483,0.176385,300,19,179,4
249.9987257,218.1436641,24.89205662,300,19.97365062,24.15377459,2.780213274,9.154141167,8.607024167,48.25380348,57.019,300.1,0.175751241,300,20,179,4
249.9969203,217.8261019,24.89418759,100,10,26.35243334,0,0,0,0.819072586,3.002,300.2,0.003799621,300,21,179,4
300.0001262,262.9785914,24.98348138,100,10,34.26458952,0,0,0,0.817637241,3.002,300.2,0.003793586,300,22,719,4
300.0053332,263.3681872,24.99116224,300,20.20921172,31.73175262,3.160097339,9.186224649,8.560182667,47.55603324,57.02031034,300.1068966,0.151134793,300,23,179,4
300.0009292,263.2036342,24.99730862,150,43.48426793,30.96167914,4.028583173,9.132890577,8.308206042,47.61435862,57.01965517,300.1034483,0.155659379,300,24,179,4
300.0008071,263.0827269,25.01228945,100,70.07235741,30.55168079,4.668778808,9.007700757,8.020059123,48.50978786,54.0242069,300.1344828,0.177718241,300,25,359,4
299.9999558,263.182694,25.01417548,150,43.61286159,30.93560066,4.063080357,9.151612756,8.324823292,48.4096301,57.02031034,300.1068966,0.177843103,300,26,179,4
300.0017574,263.3281408,25.02054034,300,20.04690607,31.59310838,3.16914828,9.178431542,8.550755726,48.29254862,57.02293103,300.1206897,0.177410931,300,27,179,4
299.995051,262.9482033,25.0171791,100,10,34.11402517,0,0,0,1.023285276,3.002,300.2,0.003781586,300,28,179,4
350.0012175,309.6641036,25.06055059,100,10,42.97623421,0,0,0,1.024584276,3.002,300.2,0.003786655,300,29,719,4
349.9996401,310.5355487,25.06390207,300,19.92837221,40.77155586,2.962950917,9.142688869,8.555009524,47.63476607,57.02031034,300.1068966,0.165556448,300,30,179,4
149.9955398,131.4491167,25.06390207,100,70.381232,13.14417614,0.30325734,1.557471085,1.467524207,1.011974483,3.002,300.2,0.003826207,300,1,721,2
150.0008797,131.4386418,25.06390207,300,19.81203959,11.82498228,1.820959323,9.007710087,8.651059938,47.83009128,57.03668966,300.1931034,0.152087241,300,2,179,2
150.0010334,131.4683191,25.06390207,150,42.51962272,11.44633986,2.339227752,8.898071157,8.427455612,47.9412139,57.03472414,300.1827586,0.158925379,300,3,179,2
150.0008219,131.4401224,25.06390207,100,68.65534434,11.2502729,2.714468832,8.685147497,8.117695296,48.78126455,54.13265517,300.1586207,0.179031966,300,4,359,2
150.00004,131.4259607,25.06390207,150,42.68054783,11.40090352,2.361248304,8.918498173,8.445392833,48.67084672,57.02817241,300.1482759,0.178616,300,5,179,2
149.9995922,131.4029089,25.06390207,300,19.58501079,11.72548303,1.809894143,8.982228958,8.627530393,48.55645248,57.02358621,300.1241379,0.178205345,300,6,179,2
149.998392,131.1432002,25.06390207,100,10,13.29058041,0,0,0,1.055922793,3.002,300.2,0.00381531,300,7,179,2
200.0007177,175.7257622,25.06390207,300,10,19.87255676,0,0,0,1.059333966,3.002,300.2,0.003828345,300,8,719,2
200.0026819,175.8967354,25.06390207,300,19.75249352,18.04564759,2.176084958,9.016724387,8.586884917,47.78631734,57.02489655,300.1310345,0.165661034,300,9,179,2
200.0008892,175.9160493,25.06390207,150,43.28629959,17.48175472,2.85470794,8.98621269,8.409713708,48.12301359,57.02358621,300.1241379,0.165573828,300,10,179,2
